"Reaction","Category"
"The following adverse drug reactions were reported in adult patients in the Tasigna clinical studies at the recommended doses","Additional Clinical Trial Data"
"These adverse drug reactions are ranked under a heading of frequency","Additional Clinical Trial Data"
"the most frequent first using the following convention","Additional Clinical Trial Data"
"common","Additional Clinical Trial Data"
"greater than or equal to 1% and less than 10%","Additional Clinical Trial Data"
"uncommon","Additional Clinical Trial Data"
"greater than or equal to 0","Additional Clinical Trial Data"
"1% and less than 1%","Additional Clinical Trial Data"
"and unknown frequency","Additional Clinical Trial Data"
"single events","Additional Clinical Trial Data"
"For laboratory abnormalities","Additional Clinical Trial Data"
"very common events","Additional Clinical Trial Data"
"greater than or equal to 10%","Additional Clinical Trial Data"
"which were not included in Tables 7 and 8","Additional Clinical Trial Data"
"are also reported","Additional Clinical Trial Data"
"These adverse reactions are included based on clinical relevance and ranked in order of decreasing seriousness within each category","Additional Clinical Trial Data"
"obtained from 2 clinical studies","Additional Clinical Trial Data"
"1","Additional Clinical Trial Data"
"Adult patients with newly diagnosed Ph+ CML-CP 60 month analysis and","Additional Clinical Trial Data"
"2","Additional Clinical Trial Data"
"Adult patients with resistant or intolerant Ph+ CML-CP and CMP-AP 24 months’ analysis","Additional Clinical Trial Data"
"Infections and Infestations","Additional Clinical Trial Data"
"Common","Additional Clinical Trial Data"
"folliculitis","Additional Clinical Trial Data"
"Uncommon","Additional Clinical Trial Data"
"pneumonia","Additional Clinical Trial Data"
"bronchitis","Additional Clinical Trial Data"
"urinary tract infection","Additional Clinical Trial Data"
"candidiasis","Additional Clinical Trial Data"
"including oral candidiasis","Additional Clinical Trial Data"
"Unknown frequency","Additional Clinical Trial Data"
"hepatitis B reactivation","Additional Clinical Trial Data"
"sepsis","Additional Clinical Trial Data"
"subcutaneous abscess","Additional Clinical Trial Data"
"anal abscess","Additional Clinical Trial Data"
"furuncle","Additional Clinical Trial Data"
"tinea pedis","Additional Clinical Trial Data"
"Neoplasms Benign","Additional Clinical Trial Data"
"Malignant","Additional Clinical Trial Data"
"and Unspecified","Additional Clinical Trial Data"
"skin papilloma","Additional Clinical Trial Data"
"oral papilloma","Additional Clinical Trial Data"
"paraproteinemia","Additional Clinical Trial Data"
"Reference ID","Additional Clinical Trial Data"
"5325805 This label may not be the latest approved by FDA","Additional Clinical Trial Data"
"For current labeling information","Additional Clinical Trial Data"
"please visit https","Additional Clinical Trial Data"
"//www","Additional Clinical Trial Data"
"fda","Additional Clinical Trial Data"
"gov/drugsatfda Blood and Lymphatic System Disorders","Additional Clinical Trial Data"
"leukopenia","Additional Clinical Trial Data"
"eosinophilia","Additional Clinical Trial Data"
"febrile neutropenia","Additional Clinical Trial Data"
"pancytopenia","Additional Clinical Trial Data"
"lymphopenia","Additional Clinical Trial Data"
"thrombocythemia","Additional Clinical Trial Data"
"leukocytosis","Additional Clinical Trial Data"
"Immune System Disorders","Additional Clinical Trial Data"
"hypersensitivity","Additional Clinical Trial Data"
"Endocrine Disorders","Additional Clinical Trial Data"
"hyperthyroidism","Additional Clinical Trial Data"
"hypothyroidism","Additional Clinical Trial Data"
"hyperparathyroidism secondary","Additional Clinical Trial Data"
"thyroiditis","Additional Clinical Trial Data"
"Metabolism and Nutrition Disorders","Additional Clinical Trial Data"
"Very Common","Additional Clinical Trial Data"
"hypophosphatemia","Additional Clinical Trial Data"
"electrolyte imbalance","Additional Clinical Trial Data"
"including hypomagnesemia","Additional Clinical Trial Data"
"hyperkalemia","Additional Clinical Trial Data"
"hypokalemia","Additional Clinical Trial Data"
"hyponatremia","Additional Clinical Trial Data"
"hypocalcemia","Additional Clinical Trial Data"
"hypercalcemia","Additional Clinical Trial Data"
"hyperphosphatemia","Additional Clinical Trial Data"
"diabetes mellitus","Additional Clinical Trial Data"
"hyperglycemia","Additional Clinical Trial Data"
"hypercholesterolemia","Additional Clinical Trial Data"
"hyperlipidemia","Additional Clinical Trial Data"
"hypertriglyceridemia","Additional Clinical Trial Data"
"gout","Additional Clinical Trial Data"
"dehydration","Additional Clinical Trial Data"
"increased appetite","Additional Clinical Trial Data"
"hyperuricemia","Additional Clinical Trial Data"
"hypoglycemia","Additional Clinical Trial Data"
"Psychiatric Disorders","Additional Clinical Trial Data"
"depression","Additional Clinical Trial Data"
"anxiety","Additional Clinical Trial Data"
"disorientation","Additional Clinical Trial Data"
"confusional state","Additional Clinical Trial Data"
"amnesia","Additional Clinical Trial Data"
"dysphoria","Additional Clinical Trial Data"
"Nervous System Disorders","Additional Clinical Trial Data"
"peripheral neuropathy","Additional Clinical Trial Data"
"hypoesthesia","Additional Clinical Trial Data"
"paresthesia","Additional Clinical Trial Data"
"intracranial hemorrhage","Additional Clinical Trial Data"
"ischemic stroke","Additional Clinical Trial Data"
"transient ischemic attack","Additional Clinical Trial Data"
"cerebral infarction","Additional Clinical Trial Data"
"migraine","Additional Clinical Trial Data"
"loss of consciousness","Additional Clinical Trial Data"
"including syncope","Additional Clinical Trial Data"
"tremor","Additional Clinical Trial Data"
"disturbance in attention","Additional Clinical Trial Data"
"hyperesthesia","Additional Clinical Trial Data"
"facial paralysis","Additional Clinical Trial Data"
"basilar artery stenosis","Additional Clinical Trial Data"
"brain edema","Additional Clinical Trial Data"
"optic neuritis","Additional Clinical Trial Data"
"lethargy","Additional Clinical Trial Data"
"dysesthesia","Additional Clinical Trial Data"
"restless legs syndrome","Additional Clinical Trial Data"
"Eye Disorders","Additional Clinical Trial Data"
"eye hemorrhage","Additional Clinical Trial Data"
"eye pruritus","Additional Clinical Trial Data"
"conjunctivitis","Additional Clinical Trial Data"
"dry eye","Additional Clinical Trial Data"
"including xerophthalmia","Additional Clinical Trial Data"
"vision impairment","Additional Clinical Trial Data"
"vision blurred","Additional Clinical Trial Data"
"visual acuity reduced","Additional Clinical Trial Data"
"photopsia","Additional Clinical Trial Data"
"hyperemia","Additional Clinical Trial Data"
"scleral","Additional Clinical Trial Data"
"conjunctival","Additional Clinical Trial Data"
"ocular","Additional Clinical Trial Data"
"eye irritation","Additional Clinical Trial Data"
"conjunctival hemorrhage","Additional Clinical Trial Data"
"papilledema","Additional Clinical Trial Data"
"diplopia","Additional Clinical Trial Data"
"photophobia","Additional Clinical Trial Data"
"eye swelling","Additional Clinical Trial Data"
"blepharitis","Additional Clinical Trial Data"
"eye pain","Additional Clinical Trial Data"
"chorioretinopathy","Additional Clinical Trial Data"
"conjunctivitis allergic","Additional Clinical Trial Data"
"ocular surface disease","Additional Clinical Trial Data"
"Ear and Labyrinth Disorders","Additional Clinical Trial Data"
"vertigo","Additional Clinical Trial Data"
"hearing impaired","Additional Clinical Trial Data"
"ear pain","Additional Clinical Trial Data"
"tinnitus","Additional Clinical Trial Data"
"Cardiac Disorders","Additional Clinical Trial Data"
"angina pectoris","Additional Clinical Trial Data"
"arrhythmia","Additional Clinical Trial Data"
"including atrioventricular block","Additional Clinical Trial Data"
"cardiac flutter","Additional Clinical Trial Data"
"extrasystoles","Additional Clinical Trial Data"
"atrial fibrillation","Additional Clinical Trial Data"
"tachycardia","Additional Clinical Trial Data"
"bradycardia","Additional Clinical Trial Data"
"palpitations","Additional Clinical Trial Data"
"electrocardiogram QT prolonged","Additional Clinical Trial Data"
"cardiac failure","Additional Clinical Trial Data"
"myocardial infarction","Additional Clinical Trial Data"
"coronary artery disease","Additional Clinical Trial Data"
"cardiac murmur","Additional Clinical Trial Data"
"coronary artery stenosis","Additional Clinical Trial Data"
"myocardial ischemia","Additional Clinical Trial Data"
"pericardial effusion","Additional Clinical Trial Data"
"cyanosis","Additional Clinical Trial Data"
"ventricular dysfunction","Additional Clinical Trial Data"
"pericarditis","Additional Clinical Trial Data"
"ejection fraction decrease","Additional Clinical Trial Data"
"Vascular Disorders","Additional Clinical Trial Data"
"flushing","Additional Clinical Trial Data"
"hypertensive crisis","Additional Clinical Trial Data"
"peripheral arterial occlusive disease","Additional Clinical Trial Data"
"intermittent claudication","Additional Clinical Trial Data"
"arterial stenosis limb","Additional Clinical Trial Data"
"hematoma","Additional Clinical Trial Data"
"arteriosclerosis","Additional Clinical Trial Data"
"shock hemorrhagic","Additional Clinical Trial Data"
"hypotension","Additional Clinical Trial Data"
"thrombosis","Additional Clinical Trial Data"
"peripheral artery stenosis","Additional Clinical Trial Data"
"Respiratory","Additional Clinical Trial Data"
"Thoracic and Mediastinal Disorders","Additional Clinical Trial Data"
"dyspnea exertional","Additional Clinical Trial Data"
"epistaxis","Additional Clinical Trial Data"
"dysphonia","Additional Clinical Trial Data"
"pulmonary edema","Additional Clinical Trial Data"
"pleural effusion","Additional Clinical Trial Data"
"interstitial lung disease","Additional Clinical Trial Data"
"pleuritic pain","Additional Clinical Trial Data"
"pleurisy","Additional Clinical Trial Data"
"pharyngolaryngeal pain","Additional Clinical Trial Data"
"throat irritation","Additional Clinical Trial Data"
"pulmonary hypertension","Additional Clinical Trial Data"
"wheezing","Additional Clinical Trial Data"
"Gastrointestinal Disorders","Additional Clinical Trial Data"
"pancreatitis","Additional Clinical Trial Data"
"abdominal discomfort","Additional Clinical Trial Data"
"abdominal distension","Additional Clinical Trial Data"
"dysgeusia","Additional Clinical Trial Data"
"flatulence","Additional Clinical Trial Data"
"gastrointestinal hemorrhage","Additional Clinical Trial Data"
"melena","Additional Clinical Trial Data"
"mouth ulceration","Additional Clinical Trial Data"
"gastroesophageal reflux","Additional Clinical Trial Data"
"stomatitis","Additional Clinical Trial Data"
"esophageal pain","Additional Clinical Trial Data"
"dry mouth","Additional Clinical Trial Data"
"gastritis","Additional Clinical Trial Data"
"sensitivity of teeth","Additional Clinical Trial Data"
"gastrointestinal ulcer perforation","Additional Clinical Trial Data"
"retroperitoneal hemorrhage","Additional Clinical Trial Data"
"hematemesis","Additional Clinical Trial Data"
"gastric ulcer","Additional Clinical Trial Data"
"esophagitis ulcerative","Additional Clinical Trial Data"
"subileus","Additional Clinical Trial Data"
"enterocolitis","Additional Clinical Trial Data"
"hemorrhoids","Additional Clinical Trial Data"
"hiatus hernia","Additional Clinical Trial Data"
"rectal hemorrhage","Additional Clinical Trial Data"
"gingivitis","Additional Clinical Trial Data"
"Hepatobiliary Disorders","Additional Clinical Trial Data"
"Very common","Additional Clinical Trial Data"
"hyperbilirubinemia","Additional Clinical Trial Data"
"hepatic function abnormal","Additional Clinical Trial Data"
"hepatotoxicity","Additional Clinical Trial Data"
"toxic hepatitis","Additional Clinical Trial Data"
"jaundice","Additional Clinical Trial Data"
"cholestasis","Additional Clinical Trial Data"
"hepatomegaly","Additional Clinical Trial Data"
"Skin and Subcutaneous Tissue Disorders","Additional Clinical Trial Data"
"eczema","Additional Clinical Trial Data"
"urticaria","Additional Clinical Trial Data"
"erythema","Additional Clinical Trial Data"
"hyperhidrosis","Additional Clinical Trial Data"
"contusion","Additional Clinical Trial Data"
"acne","Additional Clinical Trial Data"
"dermatitis","Additional Clinical Trial Data"
"including allergic","Additional Clinical Trial Data"
"exfoliative and acneiform","Additional Clinical Trial Data"
"exfoliative rash","Additional Clinical Trial Data"
"drug eruption","Additional Clinical Trial Data"
"pain of skin","Additional Clinical Trial Data"
"ecchymosis","Additional Clinical Trial Data"
"psoriasis","Additional Clinical Trial Data"
"erythema multiforme","Additional Clinical Trial Data"
"erythema nodosum","Additional Clinical Trial Data"
"skin ulcer","Additional Clinical Trial Data"
"palmar-plantar erythrodysesthesia syndrome","Additional Clinical Trial Data"
"petechiae","Additional Clinical Trial Data"
"photosensitivity","Additional Clinical Trial Data"
"blister","Additional Clinical Trial Data"
"dermal cyst","Additional Clinical Trial Data"
"sebaceous Reference ID","Additional Clinical Trial Data"
"gov/drugsatfda hyperplasia","Additional Clinical Trial Data"
"skin atrophy","Additional Clinical Trial Data"
"skin discoloration","Additional Clinical Trial Data"
"skin exfoliation","Additional Clinical Trial Data"
"skin hyperpigmentation","Additional Clinical Trial Data"
"skin hypertrophy","Additional Clinical Trial Data"
"hyperkeratosis","Additional Clinical Trial Data"
"Musculoskeletal and Connective Tissue Disorders","Additional Clinical Trial Data"
"bone pain","Additional Clinical Trial Data"
"musculoskeletal chest pain","Additional Clinical Trial Data"
"musculoskeletal pain","Additional Clinical Trial Data"
"back pain","Additional Clinical Trial Data"
"neck pain","Additional Clinical Trial Data"
"flank pain","Additional Clinical Trial Data"
"muscular weakness","Additional Clinical Trial Data"
"musculoskeletal stiffness","Additional Clinical Trial Data"
"joint swelling","Additional Clinical Trial Data"
"arthritis","Additional Clinical Trial Data"
"Renal and Urinary Disorders","Additional Clinical Trial Data"
"pollakiuria","Additional Clinical Trial Data"
"dysuria","Additional Clinical Trial Data"
"micturition urgency","Additional Clinical Trial Data"
"nocturia","Additional Clinical Trial Data"
"renal failure","Additional Clinical Trial Data"
"hematuria","Additional Clinical Trial Data"
"urinary incontinence","Additional Clinical Trial Data"
"chromaturia","Additional Clinical Trial Data"
"Reproductive System and Breast Disorders","Additional Clinical Trial Data"
"breast pain","Additional Clinical Trial Data"
"gynecomastia","Additional Clinical Trial Data"
"erectile dysfunction","Additional Clinical Trial Data"
"breast induration","Additional Clinical Trial Data"
"menorrhagia","Additional Clinical Trial Data"
"nipple swelling","Additional Clinical Trial Data"
"General Disorders and Administration Site Conditions","Additional Clinical Trial Data"
"pyrexia","Additional Clinical Trial Data"
"chest pain","Additional Clinical Trial Data"
"including non-cardiac chest pain","Additional Clinical Trial Data"
"pain","Additional Clinical Trial Data"
"chest discomfort","Additional Clinical Trial Data"
"malaise","Additional Clinical Trial Data"
"gravitational edema","Additional Clinical Trial Data"
"influenza-like illness","Additional Clinical Trial Data"
"chills","Additional Clinical Trial Data"
"feeling body temperature change","Additional Clinical Trial Data"
"including feeling hot","Additional Clinical Trial Data"
"feeling cold","Additional Clinical Trial Data"
"localized edema","Additional Clinical Trial Data"
"Investigations","Additional Clinical Trial Data"
"alanine aminotransferase increased","Additional Clinical Trial Data"
"aspartate aminotransferase increased","Additional Clinical Trial Data"
"lipase increased","Additional Clinical Trial Data"
"lipoprotein cholesterol","Additional Clinical Trial Data"
"including very low density and high density","Additional Clinical Trial Data"
"increased","Additional Clinical Trial Data"
"total cholesterol increased","Additional Clinical Trial Data"
"blood triglycerides increased","Additional Clinical Trial Data"
"hemoglobin decreased","Additional Clinical Trial Data"
"blood amylase increased","Additional Clinical Trial Data"
"gamma- glutamyltransferase increased","Additional Clinical Trial Data"
"blood creatinine phosphokinase increased","Additional Clinical Trial Data"
"blood alkaline phosphatase increased","Additional Clinical Trial Data"
"weight decreased","Additional Clinical Trial Data"
"weight increased","Additional Clinical Trial Data"
"globulins decreased","Additional Clinical Trial Data"
"blood lactate dehydrogenase increased","Additional Clinical Trial Data"
"blood urea increased","Additional Clinical Trial Data"
"troponin increased","Additional Clinical Trial Data"
"blood bilirubin unconjugated increased","Additional Clinical Trial Data"
"insulin C-peptide decreased","Additional Clinical Trial Data"
"blood parathyroid hormone increased","Additional Clinical Trial Data"
"In Pediatric Patients With Newly Diagnosed Ph+ CML-CP or Resistant or Intolerant Ph+ CML-CP The data below reflect exposure to Tasigna from two studies in pediatric patients from 2 to less than 18 years of age with either newly diagnosed Ph+ CML-CP or imatinib/dasatinib resistant or intolerant Ph+ CML-CP treated at the recommended dose of 230 mg/m2 twice daily","Additional Clinical Trial Data"
"n = 69","Additional Clinical Trial Data"
"see Clinical Studies","Additional Clinical Trial Data"
"14","Additional Clinical Trial Data"
"5","Additional Clinical Trial Data"
"The median time on treatment with Tasigna was 39","Additional Clinical Trial Data"
"6 months","Additional Clinical Trial Data"
"range","Additional Clinical Trial Data"
"0","Additional Clinical Trial Data"
"7 to 63","Additional Clinical Trial Data"
"5 months","Additional Clinical Trial Data"
"The median actual dose intensity was 427","Additional Clinical Trial Data"
"7 mg/m2/day","Additional Clinical Trial Data"
"range 149","Additional Clinical Trial Data"
"1 to 492","Additional Clinical Trial Data"
"8 mg/m2/day","Additional Clinical Trial Data"
"and the median relative dose intensity was 93%","Additional Clinical Trial Data"
"32","Additional Clinical Trial Data"
"4 to 107","Additional Clinical Trial Data"
"1%","Additional Clinical Trial Data"
"Thirty-nine patients","Additional Clinical Trial Data"
"57%","Additional Clinical Trial Data"
"had relative dose intensity superior to 90%","Additional Clinical Trial Data"
"In pediatric patients with Ph+ CML-CP","Additional Clinical Trial Data"
"the most common","Additional Clinical Trial Data"
"greater than 20%","Additional Clinical Trial Data"
"non-hematologic adverse reactions were hyperbilirubinemia","Additional Clinical Trial Data"
"headache","Additional Clinical Trial Data"
"rash","Additional Clinical Trial Data"
"nausea","Additional Clinical Trial Data"
"pain in extremity","Additional Clinical Trial Data"
"upper respiratory tract infection","Additional Clinical Trial Data"
"vomiting","Additional Clinical Trial Data"
"diarrhea","Additional Clinical Trial Data"
"and nasopharyngitis","Additional Clinical Trial Data"
"The most common","Additional Clinical Trial Data"
"greater than 5%","Additional Clinical Trial Data"
"Grade 3/4 non-hematologic adverse reactions were hyperbilirubinemia","Additional Clinical Trial Data"
"and neutropenia","Additional Clinical Trial Data"
"Laboratory abnormalities of hyperbilirubinemia","Additional Clinical Trial Data"
"Grade 3/4","Additional Clinical Trial Data"
"16%","Additional Clinical Trial Data"
"and transaminase elevation","Additional Clinical Trial Data"
"AST Grade 3/4","Additional Clinical Trial Data"
"9%","Additional Clinical Trial Data"
"ALT Grade 3/4","Additional Clinical Trial Data"
"10%","Additional Clinical Trial Data"
"were reported at a higher frequency than in adult patients","Additional Clinical Trial Data"
"The most common hematological laboratory abnormalities","Additional Clinical Trial Data"
"greater than or equal to 30% of patients","Additional Clinical Trial Data"
"of all Grades","Additional Clinical Trial Data"
"were decreases in total white blood cells","Additional Clinical Trial Data"
"54%","Additional Clinical Trial Data"
"platelet count","Additional Clinical Trial Data"
"44%","Additional Clinical Trial Data"
"absolute neutrophils","Additional Clinical Trial Data"
"hemoglobin","Additional Clinical Trial Data"
"38%","Additional Clinical Trial Data"
