"Reaction","Category"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Body System and Adverse Reaction","Table 1 (Pages: 12-20)"
"Skin and subcutaneous tissue disorders","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Gastrointestinal disorders","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Nervous system disorders","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"General disorders and administration-site conditions","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Alopecia","Table 1 (Pages: 12-20)"
"Musculoskeletal and connective tissue disorders","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Respiratory, thoracic, and mediastinal disorders","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Dyspepsia","Table 1 (Pages: 12-20)"
"Infections and infestations","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Eye disorders","Table 1 (Pages: 12-20)"
"Asthenia","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Psychiatric disorders","Table 1 (Pages: 12-20)"
"Vascular disorder","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Rash","Table 1 (Pages: 12-20)"
"Pruritus","Table 1 (Pages: 12-20)"
NA,"Table 1 (Pages: 12-20)"
"Dry skin","Table 1 (Pages: 12-20)"
"Nausea","Table 1 (Pages: 12-20)"
"Constipation","Table 1 (Pages: 12-20)"
"Diarrhea","Table 1 (Pages: 12-20)"
"Vomiting","Table 1 (Pages: 12-20)"
