"Reaction","Category","llt_code","pt_code"
"folliculitis","Additional Clinical Trial Data","10016936","10016936"
"pneumonia","Additional Clinical Trial Data","10035664","10035664"
"bronchitis","Additional Clinical Trial Data","10006451","10006451"
"urinary tract infection","Additional Clinical Trial Data","10046571","10046571"
"candidiasis","Additional Clinical Trial Data","10007152","10074170"
"hepatitis B reactivation","Additional Clinical Trial Data","10058827","10058827"
"sepsis","Additional Clinical Trial Data","10040047","10040047"
"abscess","Additional Clinical Trial Data","10000269","10000269"
"anal abscess","Additional Clinical Trial Data","10048946","10048946"
"furuncle","Additional Clinical Trial Data","10017553","10017553"
"tinea pedis","Additional Clinical Trial Data","10043873","10043873"
"skin papilloma","Additional Clinical Trial Data","10040907","10040907"
"papilloma","Additional Clinical Trial Data","10033713","10033713"
"paraproteinemia","Additional Clinical Trial Data","10033897","10061333"
"leukopenia","Additional Clinical Trial Data","10024384","10024384"
"eosinophilia","Additional Clinical Trial Data","10014950","10014950"
"febrile neutropenia","Additional Clinical Trial Data","10016288","10016288"
"pancytopenia","Additional Clinical Trial Data","10033661","10033661"
"lymphopenia","Additional Clinical Trial Data","10025327","10025327"
"thrombocythemia","Additional Clinical Trial Data","10043550","10043563"
"leukocytosis","Additional Clinical Trial Data","10024378","10024378"
"hypersensitivity","Additional Clinical Trial Data","10020751","10020751"
"hyperthyroidism","Additional Clinical Trial Data","10020850","10020850"
"hypothyroidism","Additional Clinical Trial Data","10021114","10021114"
"hyperparathyroidism secondary","Additional Clinical Trial Data","10020708","10020708"
"thyroiditis","Additional Clinical Trial Data","10043778","10043778"
"hypophosphatemia","Additional Clinical Trial Data","10021059","10021058"
"electrolyte imbalance","Additional Clinical Trial Data","10014418","10014418"
"hyperkalemia","Additional Clinical Trial Data","10020647","10020646"
"hypokalemia","Additional Clinical Trial Data","10021018","10021015"
"hyponatremia","Additional Clinical Trial Data","10021038","10021036"
"hypocalcemia","Additional Clinical Trial Data","10020949","10020947"
"hypercalcemia","Additional Clinical Trial Data","10020587","10020583"
"hyperphosphatemia","Additional Clinical Trial Data","10020712","10020711"
"diabetes mellitus","Additional Clinical Trial Data","10012601","10012601"
"hyperglycemia","Additional Clinical Trial Data","10020639","10020635"
"hypercholesterolemia","Additional Clinical Trial Data","10020604","10020603"
"hyperlipidemia","Additional Clinical Trial Data","10020667","10062060"
"hypertriglyceridemia","Additional Clinical Trial Data","10020870","10020869"
"gout","Additional Clinical Trial Data","10018627","10018627"
"dehydration","Additional Clinical Trial Data","10012174","10012174"
"increased appetite","Additional Clinical Trial Data","10021654","10021654"
"hyperuricemia","Additional Clinical Trial Data","10020907","10020903"
"hypoglycemia","Additional Clinical Trial Data","10021005","10020993"
"depression","Additional Clinical Trial Data","10012378","10012378"
"anxiety","Additional Clinical Trial Data","10002855","10002855"
"disorientation","Additional Clinical Trial Data","10013395","10013395"
"confusional state","Additional Clinical Trial Data","10010305","10010305"
"amnesia","Additional Clinical Trial Data","10001949","10001949"
"dysphoria","Additional Clinical Trial Data","10013954","10013954"
"peripheral neuropathy","Additional Clinical Trial Data","10080342","10029331"
"hypoesthesia","Additional Clinical Trial Data","10020976","10020937"
"paresthesia","Additional Clinical Trial Data","10033987","10033775"
"intracranial hemorrhage","Additional Clinical Trial Data","10022763","10018985"
"ischemic stroke","Additional Clinical Trial Data","10055221","10061256"
"transient ischemic attack","Additional Clinical Trial Data","10072760","10044390"
"cerebral infarction","Additional Clinical Trial Data","10008118","10008118"
"migraine","Additional Clinical Trial Data","10027599","10027599"
"tremor","Additional Clinical Trial Data","10044565","10044565"
"disturbance in attention","Additional Clinical Trial Data","10013496","10013496"
"hyperesthesia","Additional Clinical Trial Data","10020622","10020568"
"facial paralysis","Additional Clinical Trial Data","10016062","10016062"
"basilar artery stenosis","Additional Clinical Trial Data","10004163","10004163"
"brain edema","Additional Clinical Trial Data","10006121","10048962"
"optic neuritis","Additional Clinical Trial Data","10030942","10030942"
"lethargy","Additional Clinical Trial Data","10024264","10024264"
"dysesthesia","Additional Clinical Trial Data","10062872","10013886"
"restless legs syndrome","Additional Clinical Trial Data","10058920","10058920"
"eye hemorrhage","Additional Clinical Trial Data","10015928","10015926"
"eye pruritus","Additional Clinical Trial Data","10052140","10052140"
"conjunctivitis","Additional Clinical Trial Data","10010741","10010741"
"dry eye","Additional Clinical Trial Data","10013774","10013774"
"vision blurred","Additional Clinical Trial Data","10047513","10047513"
"visual acuity reduced","Additional Clinical Trial Data","10047531","10047531"
"photopsia","Additional Clinical Trial Data","10034962","10034962"
"hyperemia","Additional Clinical Trial Data","10020619","10020565"
"eye irritation","Additional Clinical Trial Data","10015946","10015946"
"conjunctival hemorrhage","Additional Clinical Trial Data","10010720","10010719"
"papilledema","Additional Clinical Trial Data","10033703","10033712"
"diplopia","Additional Clinical Trial Data","10013036","10013036"
"photophobia","Additional Clinical Trial Data","10034960","10034960"
"eye swelling","Additional Clinical Trial Data","10015967","10015967"
"blepharitis","Additional Clinical Trial Data","10005148","10005148"
"eye pain","Additional Clinical Trial Data","10015958","10015958"
"chorioretinopathy","Additional Clinical Trial Data","10063118","10063118"
"conjunctivitis allergic","Additional Clinical Trial Data","10010744","10010744"
"vertigo","Additional Clinical Trial Data","10047340","10047340"
"hearing impaired","Additional Clinical Trial Data","10019245","10048865"
"ear pain","Additional Clinical Trial Data","10014020","10014020"
"tinnitus","Additional Clinical Trial Data","10043882","10043882"
"angina pectoris","Additional Clinical Trial Data","10002383","10002383"
"arrhythmia","Additional Clinical Trial Data","10003119","10003119"
"cardiac flutter","Additional Clinical Trial Data","10052840","10052840"
"extrasystoles","Additional Clinical Trial Data","10015856","10015856"
"atrial fibrillation","Additional Clinical Trial Data","10003658","10003658"
"tachycardia","Additional Clinical Trial Data","10043071","10043071"
"bradycardia","Additional Clinical Trial Data","10006093","10006093"
"palpitations","Additional Clinical Trial Data","10033557","10033557"
"electrocardiogram QT prolonged","Additional Clinical Trial Data","10014387","10014387"
"cardiac failure","Additional Clinical Trial Data","10007554","10007554"
"myocardial infarction","Additional Clinical Trial Data","10028596","10028596"
"coronary artery disease","Additional Clinical Trial Data","10011078","10011078"
"cardiac murmur","Additional Clinical Trial Data","10007586","10007586"
"stenosis","Additional Clinical Trial Data","10076711","10076711"
"myocardial ischemia","Additional Clinical Trial Data","10028601","10028600"
"pericardial effusion","Additional Clinical Trial Data","10034474","10034474"
"cyanosis","Additional Clinical Trial Data","10011703","10011703"
"ventricular dysfunction","Additional Clinical Trial Data","10059056","10059056"
